team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2025,NYI,NYI,Team Level,other,82,0.48,0.55,0.56,14657,217.59,42.14,15.85,40.51,7.55,120.64,70.32,38.86,42.14,38.86,200,97,94,391,39,24,2,33,1,112,88,161,258,4,8,174,33,24,53,165,72,60,6.71,8.89,26.54,8,15,16,391,297,297,23,4.58,6.91,6.91,39.81,39.81,37.75,164.44,46.38,11.71,28.08,5.9,85.83,51.11,43.41,46.38,43.41,132,97,93,322,33,17,3,18,3,96,62,99,196,7,14,131,32,25,52,108,53,68,3.88,6.56,35.94,10,6,17,322,229,229,26,3.38,6.53,6.53,43.24,43.24,41.17
NYI,2025,NYI,NYI,Team Level,all,82,0.48,0.5,0.5,299286,2583.86,256.5,179.81,628.8,90.1,1388.71,984.07,242.23,255.68,241.46,2312,1216,1262,4790,229,315,29,510,6,1237,1231,2083,3299,246,531,2367,1599,368,1190,2588,661,279,78.84,80.79,96.87,93,74,62,4771.47,3528,3514.26,579,40.36,67.06,67.35,229.52,228.86,221.33,2624.64,276.12,187.62,622.62,88.16,1379.9,993.59,260.64,277.38,261.85,2271,1277,1306,4854,236,334,22,398,7,1324,1249,2035,3312,273,594,2129,1668,367,1240,2505,712,331,76.42,87.8,111.9,92,89,55,4883.76,3548,3568.52,557,41.95,67.16,67.16,250.9,252.01,244.35
NYI,2025,NYI,NYI,Team Level,5on5,82,0.48,0.49,0.49,241903,1976.22,166.7,129.2,509.34,68.91,1058.46,771.39,160.06,165.88,159.3,1752,952,1010,3714,146,245,22,405,5,950,953,1606,2558,220,480,1776,1536,302,1022,2063,484,157,61.49,59.44,45.77,75,47,24,3695.47,2704,2690.26,516,26.86,48.67,48.96,144.6,143.93,141.26,2049.95,180.84,138.09,510.3,68.75,1083.23,802.79,173.12,182.11,174.34,1761,1023,1080,3864,159,251,14,334,3,1034,1003,1602,2625,241,527,1667,1573,308,1085,2050,545,189,63.25,67.18,50.42,73,68,18,3893.76,2784,2804.52,490,28.8,46.57,46.66,162.98,164.09,160.66
NYI,2025,NYI,NYI,Team Level,4on5,82,0.13,0.13,0.16,20118,64.18,6.27,3.45,9.96,2.26,21.01,44.06,6.23,6.27,6.23,67,20,4,91,8,3,0,7,0,16,53,59,79,7,14,194,24,29,42,62,20,5,2.25,2.61,1.41,2,3,3,91,87,87,36,0.78,0.45,0.45,6.61,6.61,6.58,351,43.09,34.97,75.68,11.71,193.42,100.14,38.41,43.09,38.41,319,140,125,584,35,61,4,45,1,179,138,284,424,18,36,159,20,10,65,301,92,66,8.24,11.24,23.61,7,9,19,584,459,459,7,9.11,13.06,12.98,39.22,39.22,37.07
NYI,2025,NYI,NYI,Team Level,5on4,82,0.88,0.88,0.85,22608,325.88,41.41,31.31,68.99,11.38,188.61,98.31,37.08,41.41,37.08,293,147,154,594,36,43,5,65,0,159,137,257,404,15,29,223,6,13,73,298,85,57,8.4,9.85,23.16,8,9,19,594,440,440,4,8.14,11.04,11.04,38.51,38.51,35.75,59.26,5.8,2.86,8.56,1.81,17.41,39.56,5.7,5.8,5.7,59,17,8,84,9,5,1,1,0,15,46,50,67,7,17,172,43,24,38,46,22,8,1.05,2.83,1.93,2,6,1,84,76,76,34,0.66,1,1,5.47,5.47,5.45
MTL,2025,MTL,MTL,Team Level,other,82,0.55,0.49,0.51,13781,214.32,52.5,13.85,39.03,7.26,109.86,71.49,46.48,52.5,46.48,170,124,81,375,39,20,3,24,1,124,86,131,255,9,18,169,28,20,37,145,75,74,6.22,9.39,36.9,7,10,22,375,294,294,13,4.05,6.74,6.74,49.82,49.82,44.89,205.97,43.14,14.58,37.27,7.19,110.32,65.5,39.43,43.14,39.43,187,91,109,387,39,23,3,21,0,117,78,148,239,7,12,159,45,14,42,134,84,60,5.9,9.86,27.38,8,10,21,387,278,278,15,4.22,7.29,7.29,40.07,40.07,37.21
MTL,2025,MTL,MTL,Team Level,all,82,0.5,0.48,0.49,300433,2483.65,268.31,166.3,577.39,84.14,1325.31,971.54,252.13,269.3,253.07,2157,1236,1209,4602,279,237,29,462,8,1227,1180,1878,3114,332,723,2292,1810,364,1120,2420,693,280,77.8,83.19,107.33,107,93,79,4622.44,3393,3405.91,506,37.27,49.67,50.04,255.56,256.49,245.88,2594.69,273.39,177.56,616.69,87.07,1362.21,969.09,256.93,273.76,257.31,2282,1204,1431,4917,251,313,25,465,4,1252,1201,2031,3235,325,713,2204,1824,363,1254,2414,759,313,74.6,92.82,105.97,85,96,70,4910.92,3486,3482.81,569,39.94,64.46,64.51,248.82,249.13,239.56
MTL,2025,MTL,MTL,Team Level,5on5,82,0.48,0.49,0.49,240192,1875.42,160.55,121.74,462.41,64.08,1011.94,757.27,154.72,161.54,155.66,1632,946,992,3570,184,178,17,389,3,922,902,1448,2394,296,651,1724,1730,299,967,1952,484,142,62.68,58.52,39.36,92,69,23,3590.44,2578,2590.91,451,25.27,33.5,33.5,152.33,153.27,150.5,1959.48,174.71,125.79,491.69,65.39,1018.39,756.03,166.98,175.09,167.37,1701,931,1137,3769,161,234,18,360,2,935,940,1540,2471,286,637,1640,1705,308,1079,1913,539,180,58.57,66.44,49.7,66,69,26,3762.92,2632,2628.81,507,26.21,45.34,45.54,155.37,155.68,152.52
MTL,2025,MTL,MTL,Team Level,4on5,82,0.1,0.13,0.14,23552,65.97,5.83,3.05,9.55,2.06,20.73,45.79,5.79,5.83,5.79,69,18,12,99,5,3,0,3,1,14,61,64,82,14,28,211,42,25,39,62,20,5,2.05,2.45,1.32,2,3,0,99,87,87,35,0.7,0.27,0.27,6.25,6.25,6.23,382.33,51.52,34.96,80.84,12.98,218.64,114.06,46.55,51.52,46.55,346,167,171,684,47,55,4,78,2,190,141,299,466,19,38,194,20,12,84,321,123,69,8.78,14.83,27.91,10,15,22,684,513,513,6,9,11.63,11.47,49.05,49.05,45.51
MTL,2025,MTL,MTL,Team Level,5on4,82,0.92,0.88,0.87,22908,327.95,49.43,27.66,66.41,10.74,182.78,97,45.15,49.43,45.15,286,148,124,558,51,36,9,46,3,167,131,235,383,13,26,188,10,20,77,261,114,59,6.84,12.83,29.75,6,11,34,558,434,434,7,7.25,9.16,9.52,47.15,47.15,44.27,46.9,4.02,2.22,6.89,1.52,14.86,33.49,3.97,4.02,3.97,48,15,14,77,4,1,0,6,0,10,42,44,59,13,26,211,54,29,49,46,13,4,1.35,1.69,0.98,1,2,1,77,63,63,41,0.51,0.2,0.2,4.33,4.33,4.32
