team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
OTT,2025,OTT,OTT,Team Level,other,82,0.51,0.5,0.49,12128,164.8,39.91,12.21,30.37,5.34,81.46,52.7,37.22,39.91,37.22,141,81,73,295,30,10,1,27,1,79,75,111,192,13,24,176,48,24,31,111,62,49,4.43,8.11,27.37,4,5,21,295,222,222,12,3.49,2.82,2.82,40.59,40.59,38.09,166.96,38.89,12.33,30.15,5.86,88.14,53.63,35.11,38.89,35.11,143,86,68,297,29,18,3,33,1,97,51,114,200,3,6,125,27,14,38,116,57,56,4.45,7.32,27.13,6,9,14,297,229,229,12,3.73,4.9,3.55,39.07,39.07,35.4
OTT,2025,OTT,OTT,Team Level,all,82,0.55,0.53,0.54,298017,2670.83,271.89,190.41,639.49,87.75,1420.16,1004.3,258.27,273.9,260.18,2372,1242,1262,4876,275,278,33,462,8,1283,1308,2097,3339,301,670,2513,1953,413,1156,2613,702,299,77.48,87.5,106.9,104,88,83,4920.91,3614,3645.37,565,42.83,60.67,61.03,253.7,255.25,248.1,2252.56,221.02,156.25,540.07,75.66,1213.05,874.94,209.1,220.35,208.49,2001,1080,1196,4277,245,242,32,438,4,1124,1028,1756,2836,324,730,2097,1902,358,1283,2276,580,225,66.97,71.47,82.59,84,103,58,4250.55,3081,3062.29,661,35.15,51.3,51.3,204.87,204.4,197.27
OTT,2025,OTT,OTT,Team Level,5on5,82,0.56,0.53,0.54,238518,2052.61,176.55,136.9,513.6,67.56,1089.19,798.19,170.05,178.56,171.96,1799,983,1017,3799,179,213,22,363,3,1015,1009,1620,2603,267,604,1852,1843,337,994,2089,519,174,61.42,65.22,49.9,87,64,28,3843.91,2782,2813.37,506,28.56,45.05,45.93,159.18,160.73,157.74,1749.75,140.72,114.85,443.34,59.05,942.96,698.09,134.88,140.05,134.28,1528,871,989,3388,163,191,23,342,2,879,822,1365,2236,290,664,1624,1798,279,1108,1863,412,124,53.76,50.66,36.3,72,67,24,3361.55,2399,2380.29,590,23.86,37.95,38.25,126.32,125.86,123.61
OTT,2025,OTT,OTT,Team Level,4on5,82,0.15,0.13,0.15,22057,49.37,6.7,3.22,7.17,1.77,16.31,31.82,6.48,6.7,6.48,59,8,8,75,6,4,1,2,0,11,44,53,61,10,20,228,39,42,44,33,23,11,0.92,2.91,2.88,2,2,2,75,67,67,38,0.74,1.09,1.09,6.35,6.35,6.32,286.34,37.33,26.44,59.47,9.19,165.62,87.95,35.03,37.33,35.03,279,107,125,511,48,32,6,61,1,135,109,231,338,20,38,178,18,24,80,246,96,44,6.96,11.42,18.94,5,23,20,511,386,386,7,6.97,8.38,9.43,34.87,34.87,33.67
OTT,2025,OTT,OTT,Team Level,5on4,82,0.92,0.9,0.89,25314,404.05,48.73,38.07,88.34,13.07,233.2,121.59,44.52,48.73,44.52,373,170,164,707,60,51,9,70,4,178,180,313,483,11,22,257,23,10,87,380,98,65,10.72,11.25,26.76,11,17,32,707,543,543,9,10.04,11.71,11.18,47.59,47.59,45.95,49.51,4.09,2.63,7.11,1.56,16.34,35.28,4.07,4.09,4.07,51,16,14,81,5,1,0,2,0,13,46,46,62,11,22,170,59,41,57,51,15,1,1.8,2.07,0.22,1,4,0,81,67,67,52,0.6,0.07,0.07,4.61,4.61,4.59
BOS,2025,BOS,BOS,Team Level,other,82,0.45,0.41,0.41,11609,148.41,35.59,9.68,27.32,5.45,71.62,52.34,34.16,35.59,34.16,129,73,70,272,35,13,3,15,1,72,66,94,167,12,27,150,46,23,41,97,53,52,3.66,6.66,25.27,5,8,22,272,202,202,15,2.78,3.53,3.53,34.84,34.84,33.64,217.99,44,16.49,41.61,7.8,115.84,63.33,39.9,44,39.9,199,91,98,388,36,25,6,30,0,119,80,163,254,8,19,154,24,19,47,142,91,57,5.94,11.36,26.7,5,9,22,388,290,290,19,4.89,9.5,9.5,39.33,39.33,36.41
BOS,2025,BOS,BOS,Team Level,all,82,0.47,0.48,0.48,299531,2554.13,247.57,172.74,622.77,87.92,1353.22,992.78,234.84,248.45,235.72,2216,1261,1282,4759,268,283,32,468,8,1206,1244,1948,3209,351,814,2530,1861,376,1344,2595,615,267,75.51,76.18,95.88,112,81,75,4785.15,3477,3492.12,639,38.82,55.69,56.39,230,231.01,223.71,2739.11,277.57,194.4,664.31,94.18,1443.32,1030.28,262.76,277.32,262.6,2436,1269,1352,5057,247,330,30,568,5,1288,1267,2189,3458,318,737,2240,1811,395,1268,2625,774,306,77.94,97.06,102.58,87,93,67,5039.3,3705,3697.12,535,44.11,68.01,68.01,253.59,253.53,245.66
BOS,2025,BOS,BOS,Team Level,5on5,82,0.47,0.49,0.49,240683,1984.85,159.91,127.03,506.98,67.99,1049.55,790.55,152.96,160.78,153.85,1719,983,1049,3751,182,223,21,403,6,931,957,1537,2520,302,700,1928,1754,286,1186,2098,456,148,61.48,56.45,41.98,95,62,25,3777.15,2702,2717.12,579,26.44,41.74,42.17,144.17,145.19,142.4,2053.92,178.25,137.2,526.13,70.6,1083.5,799.32,170.82,178.01,170.64,1789,1006,1120,3915,149,246,15,451,5,966,978,1640,2646,284,660,1701,1716,323,1082,2064,552,179,60.26,69.45,48.55,69,65,15,3897.3,2795,2787.12,478,28.67,47.58,47.58,159.35,159.28,156.34
BOS,2025,BOS,BOS,Team Level,4on5,82,0.1,0.12,0.13,25724,56.84,5.15,3.04,8.87,2,19.51,39.42,5.05,5.15,5.05,64,14,12,90,2,3,0,3,0,14,56,62,76,22,54,226,44,47,46,58,12,8,1.52,1.76,1.86,0,1,1,90,78,78,40,0.7,0.69,0.69,5.15,5.15,5.14,394.4,47.82,36.71,85.14,13.18,219.9,118.24,44.79,47.82,44.79,368,153,126,647,53,53,7,81,0,183,151,315,468,14,31,225,14,17,98,355,107,59,10.02,13.25,24.54,13,14,26,647,521,521,6,9.63,9.9,9.9,47.55,47.55,45.59
BOS,2025,BOS,BOS,Team Level,5on4,82,0.86,0.86,0.83,21515,364.03,46.93,32.98,79.59,12.48,212.55,110.47,42.67,46.93,42.67,304,191,151,646,49,44,8,47,1,189,165,255,446,15,33,226,17,20,71,342,94,59,8.85,11.31,26.77,12,10,27,646,495,495,5,8.9,9.73,10,45.84,45.84,42.54,72.8,7.49,4,11.43,2.6,24.08,49.39,7.25,7.49,7.25,80,19,8,107,9,6,2,6,0,20,58,71,90,12,27,160,57,36,41,64,24,11,1.71,3,2.78,0,5,4,107,99,99,32,0.92,1.04,1.04,7.37,7.37,7.32
EDM,2025,EDM,EDM,Team Level,other,82,0.53,0.53,0.53,9274,153.72,34.42,11.62,27.53,5.33,81.97,48.14,32.75,34.42,32.75,146,63,69,278,39,12,3,22,0,79,57,107,170,6,15,126,18,15,35,98,58,53,4.12,6.86,23.45,8,6,25,278,209,209,17,3.43,3.51,3.54,34.31,34.31,32.97,136.03,30.45,9.71,24.58,4.57,74.55,43.15,27.09,30.45,27.09,123,64,64,251,25,12,1,21,0,85,44,98,162,7,17,103,18,20,33,98,51,38,3.63,6.25,20.56,4,8,13,251,187,187,11,2.91,4.38,4.38,28.98,28.98,26.74
EDM,2025,EDM,EDM,Team Level,all,82,0.52,0.5,0.51,298229,2669.74,274.56,189.52,621.46,88.47,1400.77,1027.21,262.88,275.8,264.08,2441,1161,1203,4805,282,284,31,499,4,1214,1319,2159,3320,267,606,2295,1545,345,1283,2555,746,301,80.12,91.51,102.93,104,89,89,4839.92,3602,3619.13,584,42.36,59.15,59.38,257.54,258.83,252.73,2508.68,257.25,175.44,590.32,84.47,1350.07,969.45,243.34,257.8,243.97,2190,1237,1300,4727,265,272,45,437,4,1208,1241,1925,3162,273,615,2068,1531,413,1321,2499,645,283,77.76,79.52,99.97,101,87,77,4728.08,3427,3434.08,580,39.16,59.26,59.26,237.15,238.12,230.77
EDM,2025,EDM,EDM,Team Level,5on5,82,0.52,0.5,0.51,248729,2093.63,182.23,140.94,512.23,69.45,1103.8,829.36,175.02,183.47,176.23,1901,937,1000,3838,175,212,19,427,4,954,1066,1726,2663,242,550,1809,1495,296,1142,2110,548,180,65.47,67.89,48.88,84,66,25,3872.92,2838,2855.13,529,29.41,42.77,43.06,168.58,169.88,166.98,1980.18,170.41,132.67,487.62,67.07,1068.76,792.49,164.39,170.95,165.03,1705,1014,1076,3795,188,209,33,361,3,941,1017,1517,2531,240,540,1642,1470,344,1175,2075,474,170,64.78,59.19,46.44,89,66,33,3796.08,2719,2726.09,537,27.59,41.31,41.31,156.68,157.65,155.36
EDM,2025,EDM,EDM,Team Level,4on5,82,0.1,0.14,0.17,20613,67.72,5.94,3.23,9.5,2.02,21.3,48.02,5.87,5.94,5.87,69,21,10,100,5,2,0,3,0,12,68,64,85,8,19,166,20,23,43,67,19,4,2.39,2.4,1.15,3,1,1,100,90,90,34,0.73,0.54,0.54,6.13,6.13,6.1,341.62,50.92,30.47,71.14,11.39,191.4,99.67,46.46,50.92,46.46,306,149,150,605,46,48,11,49,1,169,142,260,409,16,38,172,13,16,81,284,102,69,7.85,11.72,31.35,7,11,28,605,455,455,4,8.06,12.97,12.97,46.01,46.01,43.23
EDM,2025,EDM,EDM,Team Level,5on4,82,0.9,0.89,0.88,19613,354.67,51.97,33.73,72.2,11.67,193.71,101.7,49.23,51.97,49.23,325,140,124,589,63,58,9,47,0,169,128,262,402,11,22,194,12,11,63,280,121,64,8.15,14.37,29.45,9,16,38,589,465,465,4,8.8,12.35,12.25,48.52,48.52,46.67,50.84,5.47,2.6,6.98,1.44,15.36,34.15,5.38,5.47,5.38,56,10,10,76,6,3,0,6,0,13,38,50,60,10,20,151,30,33,32,42,18,6,1.5,2.36,1.62,1,2,3,76,66,66,28,0.59,0.59,0.59,5.47,5.47,5.43
TBL,2025,TBL,TBL,Team Level,other,82,0.6,0.52,0.53,12751,192.38,56.49,13.86,31.48,6.63,99.96,53.59,49.96,56.49,49.96,176,86,80,342,40,29,0,23,0,102,68,136,222,10,25,135,32,20,50,98,87,77,4.37,10.79,41.33,5,9,26,342,262,262,23,4.02,9.22,8.92,51.59,51.59,47.82,169.95,37.73,12.27,31.98,6.04,87.82,57.16,33.9,37.73,33.9,157,76,86,319,32,22,1,21,0,84,74,125,201,8,19,160,45,27,52,120,55,58,4.91,6.9,25.92,7,6,19,319,233,233,11,3.47,5.44,5.44,35.77,35.77,32.78
TBL,2025,TBL,TBL,Team Level,all,82,0.54,0.53,0.52,298258,2622.69,284.4,182.46,617.9,87.59,1396.53,1002.11,266.25,286.02,267.75,2307,1264,1318,4889,286,309,32,477,3,1324,1172,2021,3285,393,959,2151,1642,336,1230,2492,777,302,76.88,95.13,112.39,95,111,80,4931.9,3571,3590.97,526,40.99,65.34,65.34,260.06,261.53,251.43,2422.66,241.48,164.83,587.33,82.44,1283.12,930.79,227.54,241.87,227.9,2191,1099,1097,4387,229,264,24,447,4,1135,1211,1962,3061,386,917,2388,1826,412,1208,2407,627,256,73.67,76.42,91.4,90,72,67,4372.92,3290,3291.91,571,37.13,52.71,52.71,225.9,226.37,218.5
TBL,2025,TBL,TBL,Team Level,5on5,82,0.54,0.53,0.52,238268,2024.05,177.01,134.03,505.85,67.61,1074.63,801.87,168.55,178.62,170.04,1757,1004,1085,3846,195,240,26,385,3,1024,914,1562,2566,350,852,1656,1546,266,1030,2042,548,171,62.24,67.31,47.44,80,89,26,3888.9,2761,2780.97,450,27.99,47.65,47.65,157.35,158.82,154.82,1837.55,150.78,117.92,469.05,62.26,976.87,728.12,144.95,151.17,145.31,1655,850,865,3370,152,196,17,366,2,853,936,1503,2353,339,806,1785,1720,331,1036,1923,452,130,58.29,55.04,37.46,77,54,21,3355.92,2505,2506.91,527,24.53,37.82,37.82,137.49,137.96,135.48
TBL,2025,TBL,TBL,Team Level,4on5,82,0.08,0.12,0.13,23687,52.53,4.38,2.36,7.65,1.51,16.08,38.02,4.32,4.38,4.32,59,11,16,86,5,2,0,5,0,15,43,54,65,10,22,155,42,41,64,51,17,2,1.78,2.13,0.47,2,2,1,86,70,70,48,0.53,0.18,0.33,4.57,4.57,4.55,357.23,47.67,31.94,77.72,12.35,200.38,104.93,43.52,47.67,43.52,316,159,135,610,41,44,6,56,1,183,150,275,434,21,42,251,23,21,84,305,110,60,8.39,13.41,25.88,4,11,26,610,475,475,4,8.5,8.85,8.85,47.32,47.32,44.96
TBL,2025,TBL,TBL,Team Level,5on4,82,0.9,0.87,0.86,23552,353.73,46.53,32.23,72.94,11.83,205.87,108.61,43.42,46.53,43.42,315,163,137,615,46,38,6,64,0,183,147,269,432,23,60,205,22,9,86,301,125,52,8.5,14.89,23.14,8,11,27,615,478,478,5,8.45,8.29,8.44,46.55,46.55,44.24,57.94,5.3,2.69,8.57,1.79,18.06,40.59,5.17,5.3,5.17,63,14,11,88,4,2,0,4,1,15,51,59,73,18,50,192,38,33,36,59,10,8,2.09,1.07,2.14,2,1,1,88,77,77,29,0.63,0.6,0.6,5.32,5.32,5.29
UTA,2025,UTA,UTA,Team Level,other,82,0.47,0.49,0.5,10166,130.81,32.53,8.54,21.5,4.46,71.54,42.42,30.16,32.53,30.16,121,60,56,237,35,10,1,20,0,76,40,86,146,3,6,127,21,7,38,84,50,47,3.86,5.82,22.86,5,10,20,237,181,181,18,2.34,2.24,2.24,32.64,32.64,30.36,133.34,37.05,9.79,24.58,4.85,70.03,37.7,34.17,37.05,34.17,123,61,60,244,29,18,4,22,0,74,41,94,155,2,4,114,20,17,29,89,47,48,3.32,5.82,27.9,3,7,19,244,184,184,14,2.91,5.21,5.21,34.74,34.74,32.91
UTA,2025,UTA,UTA,Team Level,all,82,0.51,0.52,0.52,296827,2605.48,261.53,176.93,618.79,88.16,1400.44,1006.16,248.26,262.51,249.22,2273,1279,1360,4912,268,253,27,465,4,1343,1219,2005,3284,296,658,2323,1580,353,1349,2575,706,271,79.67,86.96,94.9,97,93,78,4945.12,3552,3570.84,606,39.12,53.89,54.76,245.89,247.18,239.31,2436.73,254.05,168.33,584.76,82.43,1279.95,933.49,241.26,254.22,241.45,2145,1158,1226,4529,240,290,41,463,1,1209,1100,1905,3063,280,627,2394,1751,386,1260,2393,647,263,72.52,80.06,101.47,84,83,73,4520.29,3303,3301.82,571,37.92,62.21,62.45,229.51,229.54,222.46
UTA,2025,UTA,UTA,Team Level,5on5,82,0.52,0.53,0.53,241438,2081.89,176.73,136.26,518,70.52,1117.66,821.81,170.21,177.7,171.17,1797,1044,1164,4005,185,202,19,389,3,1079,983,1612,2656,263,589,1815,1503,305,1175,2153,527,161,66.68,65.09,44.96,86,71,28,4038.12,2841,2859.84,526,28.38,41.15,41.38,163.72,165.01,162.14,1865.7,160.27,120.41,470,63.06,978.51,740.76,153.79,160.46,153.98,1637,896,998,3531,163,210,24,369,1,925,865,1474,2370,255,574,1858,1668,321,1096,1899,485,149,58.18,60.19,41.89,69,67,27,3522.29,2533,2531.82,518,25.11,39.54,39.8,145.58,145.6,142.69
UTA,2025,UTA,UTA,Team Level,4on5,82,0.08,0.11,0.13,23401,54.54,4.71,2.86,9.07,1.9,18.72,37.74,4.66,4.71,4.66,53,22,9,84,6,3,1,2,0,17,47,47,69,12,24,193,40,25,61,53,17,5,1.33,2.14,1.24,1,3,2,84,75,75,55,0.65,0.45,0.45,4.92,4.92,4.88,378.13,51.19,35.34,81.18,12.7,213.4,115.18,47.94,51.19,47.94,335,174,153,662,45,57,13,67,0,193,147,290,464,12,24,216,12,13,88,352,98,59,9.22,11.95,30.03,10,8,27,662,509,509,3,9.28,16.72,16.71,43.77,43.77,41.5
UTA,2025,UTA,UTA,Team Level,5on4,82,0.9,0.86,0.86,21822,338.24,47.55,29.27,70.21,11.28,192.51,104.17,43.22,47.55,43.22,302,153,131,586,42,38,6,54,1,171,149,260,413,18,39,188,16,16,75,285,112,58,7.79,13.92,25.84,5,9,28,586,455,455,7,7.75,10.05,10.69,44.6,44.6,41.93,59.57,5.54,2.78,8.99,1.82,18.01,39.86,5.36,5.54,5.36,50,27,15,92,3,5,0,5,0,17,47,47,74,11,25,206,51,35,47,53,17,7,1.8,2.1,1.64,2,1,0,92,77,77,36,0.63,0.73,0.73,5.44,5.44,5.35
DET,2025,DET,DET,Team Level,other,82,0.52,0.51,0.52,11483,174.42,37.04,12.4,33.15,5.92,90.08,56.41,33.64,37.04,33.64,168,67,71,306,43,23,2,22,0,74,73,125,192,5,10,141,20,23,28,122,61,52,5.11,7.83,24.1,7,10,26,306,235,235,10,3.61,7.21,7.21,33.44,33.44,31.34,154.53,34.09,10.22,30.24,5.68,80.01,53.77,33.09,34.09,33.09,139,75,78,292,37,13,1,21,1,64,78,102,177,4,8,127,28,18,39,112,55,47,4.29,6.86,22.93,5,9,23,292,214,214,14,2.88,2.63,2.63,34.33,34.33,33.44
DET,2025,DET,DET,Team Level,all,82,0.5,0.49,0.5,298735,2630.73,256.45,181.24,638.75,89.7,1405.84,1002.02,241.64,256.66,241.8,2315,1259,1266,4840,239,297,28,462,6,1255,1315,2076,3335,260,551,2364,1480,364,1233,2608,698,268,75.73,86.23,94.48,79,89,71,4816.65,3574,3561.46,558,40.96,63,63.01,234.4,234.34,226.87,2582.65,252.38,177.37,614.39,86.49,1392.12,1010.24,242.76,253.54,243.87,2274,1259,1437,4970,254,228,25,513,4,1260,1274,2020,3279,289,617,2271,1755,343,1160,2596,684,253,81.59,82.65,88.16,97,74,83,4985.44,3533,3542.12,553,39.27,47.2,47.51,244.15,245.15,239.2
DET,2025,DET,DET,Team Level,5on5,82,0.49,0.49,0.5,243923,2012.14,161.14,129.16,513.38,69.01,1072.75,800.57,155.31,161.35,155.48,1761,985,1029,3775,142,215,16,374,5,963,1047,1619,2604,228,491,1857,1407,301,1094,2109,494,143,60.42,61.51,39.2,65,60,17,3751.65,2746,2733.46,507,26.86,40.23,40.4,147.6,147.55,145.24,2034.06,169.16,134.83,504.61,67.79,1093.77,809.84,163.11,170.32,164.22,1785,995,1179,3959,170,181,17,431,3,1006,989,1615,2610,260,557,1780,1667,275,1029,2122,507,151,66.54,61.73,40.9,84,56,30,3974.44,2780,2789.12,494,28.1,35.95,36.26,161,162,159.25
DET,2025,DET,DET,Team Level,4on5,82,0.09,0.09,0.11,19680,42.54,4.54,2.18,6.85,1.37,13.13,27.94,4.4,4.54,4.4,47,9,8,64,3,3,0,4,0,14,32,44,53,11,22,151,39,22,39,35,14,7,1.11,1.55,1.87,0,3,0,64,56,56,36,0.5,0.45,0.45,4.59,4.59,4.58,335.57,43.73,28.96,70.11,11.04,199.23,106.93,41.28,43.73,41.28,281,179,172,632,43,32,7,57,0,176,152,238,417,20,42,187,4,15,45,310,100,50,9.32,11.41,23.01,6,7,30,632,460,460,2,7.52,8.09,8.09,43.16,43.16,40.94
DET,2025,DET,DET,Team Level,5on4,82,0.91,0.89,0.87,23649,401.62,53.73,37.5,85.38,13.41,229.88,117.11,48.28,53.73,48.28,339,198,158,695,51,56,10,62,1,204,163,288,486,16,28,215,14,18,72,342,129,66,9.09,15.34,29.3,7,16,28,695,537,537,5,9.99,15.12,14.96,48.77,48.77,45.71,58.49,5.4,3.37,9.44,1.97,19.12,39.7,5.28,5.4,5.28,69,10,8,87,4,2,0,4,0,14,55,65,75,5,10,177,56,35,47,52,22,5,1.44,2.65,1.31,2,2,0,87,79,79,43,0.78,0.53,0.53,5.65,5.65,5.56
BUF,2025,BUF,BUF,Team Level,other,82,0.49,0.44,0.44,12346,147.21,42.58,9.94,25.98,4.82,71.93,47.76,40.15,42.58,40.15,124,79,74,277,34,12,1,14,0,81,62,90,169,8,19,127,38,21,38,101,46,56,3.99,5.77,32.82,5,4,25,277,203,203,12,2.86,3.61,3.61,41.82,41.82,40.69,194.71,43.9,14.82,35.32,6.8,104.28,57.88,40.33,43.9,40.33,176,87,88,351,43,25,3,36,0,94,65,133,220,6,15,156,35,22,23,129,69,65,5.27,8.52,30.11,5,12,26,351,263,263,6,4.29,7.36,7.36,40.83,40.83,38.27
BUF,2025,BUF,BUF,Team Level,all,82,0.49,0.49,0.49,298082,2589.92,258.05,181.64,617.02,86.15,1397.98,994.17,246.67,259.12,247.71,2307,1228,1152,4687,283,245,21,462,4,1295,1246,2024,3252,298,677,2149,1575,413,1270,2614,656,265,79.42,79.43,99.2,110,104,69,4722.06,3535,3556.12,595,40.46,49.11,49.15,249.36,250.7,243.96,2675.52,264.51,184.46,649.46,89.83,1414.86,1019.88,250.53,264.01,250.08,2385,1238,1295,4918,240,294,34,554,9,1280,1246,2145,3383,317,711,2533,1871,383,1219,2659,672,292,78.5,82.49,103.53,80,85,75,4880.12,3623,3606.82,580,41.78,62.68,62.68,243.61,243.13,234.98
BUF,2025,BUF,BUF,Team Level,5on5,82,0.5,0.49,0.5,240326,2033.69,170.02,135.2,508.95,68.06,1094.86,801.89,163.89,171.09,164.92,1815,964,938,3717,193,201,15,378,3,1003,1001,1622,2586,272,620,1678,1458,335,1118,2116,510,153,64.19,62.05,43.78,94,77,22,3752.06,2779,2800.12,542,28.16,40.48,40.52,157.67,159.01,156.01,2062.84,170.33,132.98,523.62,69.14,1086.04,817.88,163.96,169.83,163.5,1816,984,1025,3825,156,224,25,431,8,990,991,1660,2644,286,638,1913,1772,313,1103,2135,507,158,63.06,62.55,44.73,67,66,23,3787.12,2800,2783.82,536,27.74,44.02,44.02,154.05,153.57,150.84
BUF,2025,BUF,BUF,Team Level,4on5,82,0.1,0.09,0.11,21932,44.17,5.27,2.52,6.3,1.43,14.18,29.29,5.11,5.27,5.11,47,12,9,68,9,2,0,4,0,11,33,38,50,6,12,168,71,40,41,40,9,10,1.29,1.26,2.71,2,4,3,68,59,59,37,0.58,0.71,0.71,5.13,5.13,5.07,365.27,45.15,33.67,82.24,12.13,206.69,108.12,41.2,45.15,41.2,335,153,170,658,36,43,6,82,1,178,148,299,452,16,40,238,12,17,52,346,81,61,8.8,9.69,26.66,8,6,22,658,488,488,4,9.07,11.19,11.19,43.02,43.02,40.26
BUF,2025,BUF,BUF,Team Level,5on4,82,0.89,0.88,0.87,23478,364.84,40.18,33.97,75.78,11.83,217.01,115.23,37.53,40.18,37.53,321,173,131,625,47,30,5,66,1,200,150,274,447,12,26,176,8,17,73,357,91,46,9.95,10.34,19.9,9,19,19,625,494,494,4,8.87,4.31,4.31,44.74,44.74,42.19,52.69,5.14,2.99,8.28,1.75,17.85,35.99,5.05,5.14,5.05,58,14,12,84,5,2,0,5,0,18,42,53,67,9,18,226,52,31,41,49,15,8,1.37,1.73,2.04,0,1,4,84,72,72,34,0.68,0.09,0.09,5.72,5.72,5.62
VGK,2025,VGK,VGK,Team Level,other,82,0.47,0.51,0.5,9947,170.34,35.49,13.21,31.44,6.01,88.81,55.04,30.86,35.49,30.86,151,79,77,307,30,19,4,23,0,79,79,121,200,5,10,124,18,19,44,112,71,47,4.41,9.44,21.63,5,7,18,307,230,230,14,3.93,6.72,6.23,33.19,33.19,30.25,174.42,40.16,11.58,31.2,5.43,80.32,61.31,36.59,40.16,36.59,151,79,65,295,30,14,2,32,0,79,75,121,200,5,10,146,22,19,39,114,61,55,4.94,7.37,27.85,5,8,17,295,230,230,16,3.29,3.98,3.98,39.48,39.48,36.17
VGK,2025,VGK,VGK,Team Level,all,82,0.54,0.52,0.53,300940,2652.34,264.89,189.34,628.34,88.51,1406.5,1015.48,250.42,264.59,250.21,2377,1217,1337,4931,264,289,41,542,3,1247,1249,2113,3330,249,567,2349,1713,363,1322,2570,737,287,75.54,91.76,97.59,82,97,85,4905.19,3594,3576.33,557,42.7,61.34,61.34,246.18,246.06,238.4,2335.63,225.49,157.74,564.43,80.11,1250.82,915.4,214.58,226.98,216.03,2000,1194,1284,4478,242,246,31,421,5,1160,1120,1758,2952,274,619,2261,1739,407,1200,2383,570,241,71.12,69.37,85.01,98,79,65,4518.29,3194,3224.22,564,35.03,45.71,45.71,214.82,216.2,208.68
VGK,2025,VGK,VGK,Team Level,5on5,82,0.54,0.52,0.53,250337,2084.11,175.04,139.05,514.67,69.12,1108,832.18,168.41,174.73,168.2,1865,974,1117,3956,174,203,26,448,2,1011,1001,1691,2665,224,519,1856,1633,305,1183,2141,534,164,62.86,66.38,45.8,70,72,32,3930.19,2839,2821.33,515,29.04,41.01,41.1,162.91,162.79,160.16,1846.57,146.79,120.19,468.51,64.09,999.77,736.64,141.82,148.28,143.27,1561,975,1070,3606,172,198,26,336,3,936,891,1389,2364,248,565,1779,1668,342,1053,1985,412,139,58.12,50.57,38.1,86,60,26,3646.29,2536,2566.22,499,25.01,35.36,35.52,136.28,137.66,135.43
VGK,2025,VGK,VGK,Team Level,4on5,82,0.14,0.11,0.13,19494,43.35,5.79,2.58,6.68,1.42,13.17,26.37,5.46,5.79,5.46,44,12,7,63,6,6,1,2,0,5,37,38,50,2,4,150,58,22,31,28,17,11,0.85,2.19,2.75,1,3,2,63,56,56,22,0.59,1.3,1.3,5.07,5.07,4.98,265.18,34.16,23.42,57.54,8.97,154.61,82.32,31.84,34.16,31.84,237,124,145,506,36,31,3,49,2,134,109,201,325,17,34,179,14,14,61,238,80,43,6.87,9.21,18.07,7,7,22,506,361,361,9,6.16,5.83,5.67,34.65,34.65,32.7
